Ticker,YearMonth,ret_1m,ret_3m,ret_6m,ret_12m,momentum_accel,vol_1m,vol_3m,vol_6m,downside_vol_3m,avg_volume_1m,avg_volume_3m,volume_change_1m,volume_ratio_1m_3m,Log_Volume,log_volume_change_1m,market_cap_1m,log_market_cap_1m,market_cap_3m_avg,market_cap_change_1m,market_cap_ratio_1m_3m,log_market_cap_change_1m,ret_1m_rank,ret_3m_rank,ret_6m_rank,ret_12m_rank,vol_1m_rank,vol_3m_rank,vol_6m_rank,avg_volume_1m_rank,volume_ratio_1m_3m_rank,Log_Volume_rank,market_cap_1m_rank,market_cap_ratio_1m_3m_rank,log_market_cap_1m_rank,future_return_1m,label_top20
VZ,11/30/2025,0.041550528,-0.052407707,-0.061169826,-0.078467878,0.027700352,0.010197653,0.069523252,0.048370127,0.053875487,26701194.74,25992758.63,-0.195037903,1.027255133,17.10021887,-0.216960087,1.70432E+11,25.8616025,1.71437E+11,0.034474121,0.994137632,0.033893202,0.683168317,0.227722772,0.198019802,0.237623762,0.138613861,0.683168317,0.415841584,0.851485149,0.564356436,0.851485149,0.405940594,0.396039604,0.405940594,-0.000981858,0
WFC,12/31/2019,0.003356962,0.102055837,0.211529592,0.206115442,0.002237975,0.011078125,0.026161021,0.038318436,0,18602052.38,18405422.53,0.131391268,1.010683256,16.73878248,0.123448086,1.41048E+11,25.67236298,1.393E+11,-0.012118794,1.012543551,-0.012192826,0.161616162,0.525252525,0.787878788,0.295918367,0.727272727,0.393939394,0.353535354,0.818181818,0.626262626,0.818181818,0.707070707,0.272727273,0.707070707,-0.1266977,0
WFC,1/31/2020,-0.1266977,-0.085479121,0.042295491,0.010878344,-0.084465133,0.014308194,0.089045862,0.076416146,0.073148951,23065457.14,19369753.17,0.239941522,1.19079768,16.95384669,0.215064219,1.23063E+11,25.53595957,1.35629E+11,-0.127509409,0.907345339,-0.136403409,0.02020202,0.090909091,0.323232323,0.193877551,0.616161616,0.888888889,0.787878788,0.828282828,0.808080808,0.828282828,0.606060606,0.01010101,0.606060606,-0.133064529,0
WFC,2/29/2020,-0.133064529,-0.240361714,-0.08688951,-0.14084835,-0.088709686,0.017156042,0.076990881,0.096546414,0.075054439,22564100,21410536.51,-0.021736276,1.053878309,16.93187071,-0.021975989,1.08239E+11,25.40760939,1.24116E+11,-0.12045468,0.872077579,-0.128350186,0.151515152,0.03030303,0.161616162,0.142857143,0.292929293,0.505050505,0.909090909,0.797979798,0.161616162,0.797979798,0.575757576,0.03030303,0.575757576,-0.195726479,0
WFC,3/31/2020,-0.195726479,-0.391087138,-0.328944027,-0.284553491,-0.130484319,0.0647649,0.038148894,0.105454416,0.038148894,50731627.27,32120394.81,1.248333737,1.579421037,17.74206009,0.810189381,76045641308,25.05459954,1.02449E+11,-0.297429726,0.7422768,-0.353009848,0.156565657,0.03030303,0.060606061,0.102040816,0.707070707,0.161616162,0.787878788,0.868686869,0.777777778,0.868686869,0.454545455,0.060606061,0.454545455,0.093338335,0
WFC,4/30/2020,0.093338335,-0.237666299,-0.302829914,-0.211311545,0.062225557,0.049655882,0.152065361,0.11502351,0.099951274,41341038.1,38212255.12,-0.185103252,1.081879045,17.53736622,-0.204693863,76973028537,25.06672092,87085955124,0.01219514,0.883874196,0.012121378,0.242424242,0.04040404,0.01010101,0.101010101,0.878787879,0.434343434,0.505050505,0.888888889,0.919191919,0.888888889,0.414141414,0.04040404,0.414141414,-0.040594448,0
WFC,5/31/2020,-0.040594448,-0.156353374,-0.359133723,-0.177500675,-0.027062966,0.046162635,0.144661907,0.105691479,0.103297879,52772745,48281803.46,0.276522009,1.093015199,17.78150542,0.244139199,71561963761,24.99382954,74860211202,-0.070298192,0.955941249,-0.072891381,0.02020202,0.02020202,0.01010101,0.04040404,0.95959596,0.414141414,0.323232323,0.929292929,0.98989899,0.929292929,0.333333333,0.02020202,0.333333333,-0.055001837,0
WFC,6/30/2020,-0.055001837,-0.008739576,-0.396408778,-0.268731374,-0.036667891,0.044808888,0.081802985,0.100529087,0.028520999,55580059.09,49897947.4,0.053196287,1.113874658,17.83333505,0.051829623,69209918503,24.96041002,72581636933,-0.032867254,0.953545848,-0.033419517,0.131313131,0.02020202,0.01010101,0.02020202,0.96969697,0.464646465,0.292929293,0.939393939,0.929292929,0.939393939,0.323232323,0.04040404,0.323232323,-0.033080905,0
WFC,7/31/2020,-0.033080905,-0.123355872,-0.331704637,-0.303438757,-0.022053937,0.02961327,0.011139669,0.098383027,0.011139669,46933168.18,51761990.76,-0.155575418,0.906711034,17.66423519,-0.169099851,65587206938,24.9066465,68786363067,-0.052343821,0.953491419,-0.053763523,0.141414141,0.02020202,0.02020202,0.02020202,0.919191919,0.03030303,0.272727273,0.929292929,0.666666667,0.929292929,0.282828283,0.080808081,0.282828283,-0.005763742,0
WFC,8/31/2020,-0.005763742,-0.091529775,-0.23357216,-0.300166699,-0.003842495,0.018414505,0.024668281,0.093245456,0.024668281,35053952.38,45855726.55,-0.253109182,0.764440017,17.37239893,-0.291836265,65558491845,24.90620859,66785205762,-0.000437815,0.981631951,-0.000437911,0.161616162,0.060606061,0.02020202,0.02020202,0.727272727,0.171717172,0.282828283,0.909090909,0.212121212,0.909090909,0.262626263,0.101010101,0.262626263,-0.022453182,0
WFC,9/30/2020,-0.022453182,-0.060239255,-0.068452365,-0.374879395,-0.014968788,0.020967239,0.013770218,0.053560519,0.013770218,47504342.86,43163821.14,0.355177937,1.100559255,17.67633169,0.303932764,63821129038,24.87935015,64988942607,-0.026500958,0.982030581,-0.026858438,0.525252525,0.171717172,0.02020202,0.02020202,0.656565657,0.03030303,0.141414141,0.919191919,0.595959596,0.919191919,0.272727273,0.282828283,0.272727273,-0.089558521,0
WFC,10/31/2020,-0.089558521,-0.115130555,-0.224284397,-0.459194286,-0.059705681,0.022979639,0.044353183,0.02899104,0.044353183,37295222.73,39951172.66,-0.214909196,0.933520101,17.4343758,-0.241955894,58228970326,24.78764884,62536197070,-0.087622372,0.931124262,-0.091701309,0.15,0.121212121,0.03030303,0.01010101,0.76,0.252525253,0.04040404,0.91,0.373737374,0.91,0.23,0.212121212,0.23,0.248858487,1
WFC,11/30/2020,0.248858487,0.111483018,0.009749228,-0.352885772,0.165905658,0.035324374,0.179182969,0.121901615,0.046597569,43412425,42737330.19,0.164021068,1.015796373,17.58625625,0.151880449,74586221360,25.03522163,65545440241,0.280912593,1.137931503,0.247572787,0.84,0.727272727,0.181818182,0.01010101,0.86,0.909090909,0.838383838,0.9,0.505050505,0.9,0.28,0.828282828,0.28,0.075552419,1
WFC,12/31/2020,0.075552419,0.222916618,0.149249032,-0.306323373,0.050368279,0.018928944,0.169225041,0.120225586,0.051706636,33530345.45,38079331.06,-0.227632516,0.880539246,17.32796142,-0.258294827,82303918616,25.13368456,71706370100,0.103473498,1.147790894,0.09846293,0.86,0.81,0.464646465,0.01010101,0.84,0.93,0.828282828,0.89,0.34,0.89,0.29,0.92,0.29,0.006060552,0
WFC,1/31/2021,0.006060552,0.351353377,0.195771314,-0.200871576,0.004040368,0.03178739,0.125043292,0.117212292,0,42004189.47,39648986.64,0.252721644,1.059401337,17.55327992,0.225318499,81485784807,25.12369442,79458641594,-0.009940399,1.025511929,-0.009990135,0.58,0.89,0.727272727,0.03030303,0.91,0.81,0.808080808,0.9,0.46,0.9,0.29,0.71,0.29,0.206068638,1
WFC,2/28/2021,0.206068638,0.305051729,0.450542834,0.111736411,0.137379092,0.02319108,0.101543781,0.133136929,0,34500315.79,36678283.57,-0.178645839,0.940619692,17.35647904,-0.196800885,98951411437,25.31789477,87580371620,0.214339552,1.129835483,0.194200351,0.97,0.92,0.898989899,0.292929293,0.84,0.88,0.909090909,0.9,0.38,0.9,0.36,0.95,0.36,0.053383649,0
WFC,3/31/2021,0.053383649,0.278152629,0.56307409,0.456077971,0.035589099,0.021193793,0.104527043,0.125922763,0,33980756.52,36828420.59,-0.015059551,0.92267754,17.34130494,-0.015174098,1.06885E+11,25.39501954,95774073147,0.080176843,1.116012086,0.077124771,0.63,0.93,0.92,0.393939394,0.73,0.89,0.89,0.9,0.17,0.9,0.41,0.95,0.41,0.136765027,1
